.RUT (CBOE),776.99,+1.12,
Jan 08 2007 @ 21:29 ET (Data 15 Minutes Delayed),
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
07 Jan 680.0 (RUY AP-B),0,pc,96.40,97.40,0,52,07 Jan 680.0 (RUY MP-B),0,pc,0,0.20,0,3230,
07 Jan 680.0 (RUY AP-8),115.30,pc,96.40,97.40,0,52,07 Jan 680.0 (RUY MP-8),0.10,pc,0,0.15,0,3230,
07 Jan 690.0 (RUY AR),86.80,-18.80,86.50,87.40,10,85,07 Jan 690.0 (RUY MR),0.10,-0.05,0.05,0.15,56,6293,
07 Jan 690.0 (RUY AR-E),0,pc,86.50,87.40,0,85,07 Jan 690.0 (RUY MR-E),0.10,-0.05,0.05,0.15,12,6293,
07 Jan 690.0 (RUY AR-A),0,pc,86.30,87.60,0,85,07 Jan 690.0 (RUY MR-A),0.55,pc,0.05,0.20,0,6293,
07 Jan 690.0 (RUY AR-B),0,pc,86.50,87.50,0,85,07 Jan 690.0 (RUY MR-B),0.20,pc,0,0.20,0,6293,
07 Jan 690.0 (RUY AR-8),86.80,-18.80,86.50,87.40,10,85,07 Jan 690.0 (RUY MR-8),0.10,-0.10,0.05,0.15,44,6293,
07 Jan 700.0 (RUT AT),76.90,-7.10,76.50,77.50,10,218,07 Jan 700.0 (RUT MT),0.10,-0.20,0.10,0.20,97,6676,
07 Jan 700.0 (RUT AT-E),84.00,pc,76.50,77.50,0,218,07 Jan 700.0 (RUT MT-E),0.20,-0.10,0.10,0.20,9,6676,
07 Jan 700.0 (RUT AT-A),0,pc,76.40,77.70,0,218,07 Jan 700.0 (RUT MT-A),0.30,pc,0.05,0.20,0,6676,
07 Jan 700.0 (RUT AT-B),95.20,pc,76.50,77.60,0,218,07 Jan 700.0 (RUT MT-B),0.60,pc,0,0.25,0,6676,
07 Jan 700.0 (RUT AT-8),76.90,-22.10,76.50,77.50,10,218,07 Jan 700.0 (RUT MT-8),0.10,-0.15,0,0.20,88,6676,
07 Jan 710.0 (RUT AB),66.70,-10.10,66.70,67.60,2,116,07 Jan 710.0 (RUT MB),0.25,-0.10,0.15,0.30,105,4981,
07 Jan 710.0 (RUT AB-E),76.80,pc,66.70,67.60,0,116,07 Jan 710.0 (RUT MB-E),0.10,-0.25,0.10,0.30,34,4981,
07 Jan 710.0 (RUT AB-A),0,pc,66.40,67.80,0,116,07 Jan 710.0 (RUT MB-A),0.25,pc,0.05,0.30,0,4981,
07 Jan 710.0 (RUT AB-B),85.80,pc,66.70,67.70,0,116,07 Jan 710.0 (RUT MB-B),3.20,pc,0.05,0.35,0,4981,
07 Jan 710.0 (RUT AB-8),66.70,-21.50,66.70,67.60,2,116,07 Jan 710.0 (RUT MB-8),0.25,-0.10,0.15,0.30,71,4981,
07 Jan 720.0 (RUT AD),54.40,-19.20,56.80,57.80,10,60,07 Jan 720.0 (RUT MD),0.35,-0.20,0.20,0.40,175,10717,
07 Jan 720.0 (RUT AD-E),73.60,pc,56.80,57.80,0,60,07 Jan 720.0 (RUT MD-E),0.35,-0.20,0.20,0.40,34,10717,
07 Jan 720.0 (RUT AD-A),0,pc,56.60,58.00,0,60,07 Jan 720.0 (RUT MD-A),0.45,pc,0.20,0.40,0,10717,
07 Jan 720.0 (RUT AD-B),0,pc,56.80,57.80,0,60,07 Jan 720.0 (RUT MD-B),1.20,pc,0.15,0.45,0,10717,
07 Jan 720.0 (RUT AD-8),54.40,-18.40,56.80,57.80,10,60,07 Jan 720.0 (RUT MD-8),0.25,-0.35,0.20,0.40,141,10717,
07 Jan 730.0 (RUT AF),42.30,-21.40,47.20,48.00,25,668,07 Jan 730.0 (RUT MF),0.50,-0.50,0.50,0.70,624,9348,
07 Jan 730.0 (RUT AF-E),42.30,-23.00,47.20,48.00,15,668,07 Jan 730.0 (RUT MF-E),0.50,-0.50,0.50,0.70,222,9348,
07 Jan 730.0 (RUT AF-A),32.60,pc,47.20,48.20,0,668,07 Jan 730.0 (RUT MF-A),0.65,-0.05,0.45,0.70,160,9348,
07 Jan 730.0 (RUT AF-B),0,pc,47.20,48.10,0,668,07 Jan 730.0 (RUT MF-B),1.40,pc,0.45,0.75,0,9348,
07 Jan 730.0 (RUT AF-8),44.80,-18.90,47.20,48.00,10,668,07 Jan 730.0 (RUT MF-8),0.50,-0.45,0.50,0.70,242,9348,
07 Jan 740.0 (RUT AH),38.40,+1.50,37.90,38.60,77,144,07 Jan 740.0 (RUT MH),1.10,-0.55,1.00,1.20,442,5634,
07 Jan 740.0 (RUT AH-E),38.40,+1.50,37.90,38.60,35,144,07 Jan 740.0 (RUT MH-E),1.10,-0.55,1.00,1.20,201,5634,
07 Jan 740.0 (RUT AH-A),0,pc,37.80,38.80,0,144,07 Jan 740.0 (RUT MH-A),1.40,-0.10,0.95,1.25,125,5634,
07 Jan 740.0 (RUT AH-B),0,pc,37.80,38.60,0,144,07 Jan 740.0 (RUT MH-B),2.00,pc,0.95,1.25,0,5634,
07 Jan 740.0 (RUT AH-8),35.30,-2.45,37.90,38.60,42,144,07 Jan 740.0 (RUT MH-8),1.10,-0.40,1.00,1.20,116,5634,
07 Jan 750.0 (RUT AJ),31.00,+1.50,28.90,29.40,102,1506,07 Jan 750.0 (RUT MJ),2.05,-1.05,1.90,2.15,348,11710,
07 Jan 750.0 (RUT AJ-E),31.00,-0.30,28.90,29.40,33,1506,07 Jan 750.0 (RUT MJ-E),1.75,-1.35,1.90,2.15,182,11710,
07 Jan 750.0 (RUT AJ-A),41.00,pc,28.70,29.70,0,1506,07 Jan 750.0 (RUT MJ-A),3.00,pc,1.85,2.20,0,11710,
07 Jan 750.0 (RUT AJ-B),0,pc,28.80,29.50,0,1506,07 Jan 750.0 (RUT MJ-B),2.10,pc,1.90,2.20,0,11710,
07 Jan 750.0 (RUT AJ-8),26.60,-2.90,28.90,29.40,69,1506,07 Jan 750.0 (RUT MJ-8),2.05,-0.60,1.90,2.15,166,11710,
07 Jan 760.0 (RUT AL),22.20,+1.00,20.50,21.10,23,1366,07 Jan 760.0 (RUT ML),3.80,-1.40,3.50,3.80,505,5432,
07 Jan 760.0 (RUT AL-E),22.20,+0.80,20.50,21.10,7,1366,07 Jan 760.0 (RUT ML-E),3.40,-1.80,3.50,3.80,245,5432,
07 Jan 760.0 (RUT AL-A),30.80,pc,20.40,21.20,0,1366,07 Jan 760.0 (RUT ML-A),4.60,pc,3.40,3.90,0,5432,
07 Jan 760.0 (RUT AL-B),43.40,pc,20.40,21.20,0,1366,07 Jan 760.0 (RUT ML-B),5.20,+2.00,3.40,3.90,3,5432,
